package,manifestPaths,gradleConfigPaths,mavenConfigPaths
ua.uagames.wedding.it.v201606,ITWedding/WeddingITv2016.06/app/src/main/AndroidManifest.xml,ITWedding/WeddingITv2016.06/app/build.gradle,
ua.uagames.itwedding.v201605,ITWedding/ITWeddingv2016.05/app/src/main/AndroidManifest.xml,ITWedding/ITWeddingv2016.05/app/build.gradle,
ua.uagames.ur3,UR3Streaming/app/src/main/AndroidManifest.xml,UR3Streaming/app/build.gradle,
ua.org.nevdashchenko.itwedding,ITWedding/ITWeddingv2016.01/app/src/main/AndroidManifest.xml,ITWedding/ITWeddingv2016.01/app/build.gradle,
ua.uagames.robotabcv001,RobotABC/RobotABCv001/app/src/main/AndroidManifest.xml,RobotABC/RobotABCv001/app/build.gradle,
ua.uagames.borsch.v002,Borsch/Borschv002/app/src/main/AndroidManifest.xml,Borsch/Borschv002/app/build.gradle,
ua.uagames.wedding.ukrainian.v201601,ITWedding/WeddingUkrainianv2016.01/app/src/main/AndroidManifest.xml,ITWedding/WeddingUkrainianv2016.01/app/build.gradle,
ua.uagames.itwedding.v201603,ITWedding/ITWeddingv2016.03/app/src/main/AndroidManifest.xml,ITWedding/ITWeddingv2016.03/app/build.gradle,
ua.uagames.itwedding.v201604,ITWedding/ITWeddingv2016.04/app/src/main/AndroidManifest.xml,ITWedding/ITWeddingv2016.04/app/build.gradle,
ua.uagames.itwedding.v201602,ITWedding/ITWeddingv2016.02/app/src/main/AndroidManifest.xml,ITWedding/ITWeddingv2016.02/app/build.gradle,
